qua 26 jan 2022 22:02:36 -03
Population 556 Fitness -45671 Error 3.030
Population 557 Fitness -45598 Error 3.333
Population 558 Fitness -45505 Error 3.333
Population 559 Fitness -45702 Error 3.333
Population 560 Fitness -45560 Error 2.121
Population 561 Fitness -45741 Error 2.424
Population 562 Fitness -45610 Error 2.424
Population 563 Fitness -45483 Error 3.030
Population 564 Fitness -45568 Error 3.333
Population 565 Fitness -45624 Error 2.424
Population 566 Fitness -45575 Error 2.727
Population 567 Fitness -45514 Error 3.030
Population 568 Fitness -45628 Error 2.727
Population 569 Fitness -45502 Error 2.424
Population 570 Fitness -45515 Error 2.727
Population 571 Fitness -45793 Error 2.727
Population 572 Fitness -45445 Error 3.333
Population 573 Fitness -45493 Error 3.030
Population 574 Fitness -45877 Error 3.333
Population 575 Fitness -45315 Error 4.242
Population 576 Fitness -45297 Error 3.939
Population 577 Fitness -45293 Error 3.636
Population 578 Fitness -45269 Error 3.030
Population 579 Fitness -45038 Error 2.727
Population 580 Fitness -45297 Error 3.939
Population 581 Fitness -45247 Error 3.030
Population 582 Fitness -45411 Error 3.333
Population 583 Fitness -45592 Error 3.333
Population 584 Fitness -45236 Error 2.424
Population 585 Fitness -45153 Error 2.727
Population 586 Fitness -45383 Error 2.727
Population 587 Fitness -45359 Error 2.121
Population 588 Fitness -45196 Error 2.121
Population 589 Fitness -45299 Error 3.333
Population 590 Fitness -45345 Error 3.030
Population 591 Fitness -45340 Error 3.333
Population 592 Fitness -44923 Error 3.939
Population 593 Fitness -44947 Error 3.636
Population 594 Fitness -45312 Error 3.333
Population 595 Fitness -45163 Error 3.636
Population 596 Fitness -45031 Error 2.424
Population 597 Fitness -45143 Error 3.636
Population 598 Fitness -45371 Error 3.333
Population 599 Fitness -45445 Error 3.333
Population 600 Fitness -45002 Error 3.333
Population 601 Fitness -45284 Error 3.333
Population 602 Fitness -45046 Error 3.333
Population 603 Fitness -45095 Error 2.424
Population 604 Fitness -45130 Error 3.333
Population 605 Fitness -44955 Error 3.333
Population 606 Fitness -45215 Error 3.030
Population 607 Fitness -45125 Error 3.636
Population 608 Fitness -45146 Error 3.333
Population 609 Fitness -45145 Error 3.333
Population 610 Fitness -45126 Error 3.939
Population 611 Fitness -45197 Error 3.333
Population 612 Fitness -45249 Error 3.333
Population 613 Fitness -45161 Error 3.333
Population 614 Fitness -45225 Error 3.939
Population 615 Fitness -45258 Error 3.333
Population 616 Fitness -45144 Error 3.333
Population 617 Fitness -45101 Error 2.727
Population 618 Fitness -45007 Error 3.030
Population 619 Fitness -44926 Error 3.333
Population 620 Fitness -45101 Error 3.030
Population 621 Fitness -44926 Error 3.030
Population 622 Fitness -45044 Error 2.727
Population 623 Fitness -45039 Error 3.030
Population 624 Fitness -45213 Error 3.030
Population 625 Fitness -45087 Error 3.030
Population 626 Fitness -45003 Error 2.424
Population 627 Fitness -45234 Error 2.424
Population 628 Fitness -45154 Error 3.030
Population 629 Fitness -45074 Error 2.727
Population 630 Fitness -44965 Error 2.727
Population 631 Fitness -44800 Error 3.333
Population 632 Fitness -44631 Error 2.424
Population 633 Fitness -44878 Error 1.818
Population 634 Fitness -44838 Error 3.030
Population 635 Fitness -44884 Error 2.424
Population 636 Fitness -44934 Error 2.424
Population 637 Fitness -44512 Error 3.030
Population 638 Fitness -44763 Error 3.333
Population 639 Fitness -44580 Error 2.424
Population 640 Fitness -44671 Error 2.727
Population 641 Fitness -44514 Error 2.727
Population 642 Fitness -45026 Error 2.727
Population 643 Fitness -44696 Error 3.030
Population 644 Fitness -44731 Error 2.727
Population 645 Fitness -44762 Error 3.030
Population 646 Fitness -44673 Error 3.030
Population 647 Fitness -44481 Error 2.727
Population 648 Fitness -44766 Error 3.030
Population 649 Fitness -44819 Error 3.030
Population 650 Fitness -44781 Error 2.424
Population 651 Fitness -44877 Error 3.030
Population 652 Fitness -44937 Error 3.333
Population 653 Fitness -44843 Error 3.030
Population 654 Fitness -44678 Error 3.030
Population 655 Fitness -44825 Error 2.424
Population 656 Fitness -44628 Error 3.333
Population 657 Fitness -44270 Error 3.030
Population 658 Fitness -44386 Error 3.030
Population 659 Fitness -44464 Error 2.727
Population 660 Fitness -44746 Error 2.424
Population 661 Fitness -44663 Error 3.333
Population 662 Fitness -44689 Error 3.333
Population 663 Fitness -44919 Error 3.030
Population 664 Fitness -44950 Error 2.424
Population 665 Fitness -44750 Error 3.030
Population 666 Fitness -44493 Error 2.424
Population 667 Fitness -44576 Error 2.424
Population 668 Fitness -44423 Error 2.727
Population 669 Fitness -44431 Error 2.121
Population 670 Fitness -44837 Error 2.727
Population 671 Fitness -44659 Error 2.727
Population 672 Fitness -44593 Error 2.727
Population 673 Fitness -44726 Error 3.030
Population 674 Fitness -44658 Error 2.424
Population 675 Fitness -44599 Error 2.727
Population 676 Fitness -44609 Error 2.727
Population 677 Fitness -44604 Error 3.333
Population 678 Fitness -44561 Error 2.424
Population 679 Fitness -44515 Error 2.727
Population 680 Fitness -44334 Error 3.030
Population 681 Fitness -44504 Error 3.333
Population 682 Fitness -44313 Error 2.727
Population 683 Fitness -44479 Error 3.030
Population 684 Fitness -44518 Error 2.727
Population 685 Fitness -44539 Error 3.333
Population 686 Fitness -44573 Error 3.636
Population 687 Fitness -44473 Error 2.727
Population 688 Fitness -44485 Error 2.424
Population 689 Fitness -44836 Error 3.333
Population 690 Fitness -44536 Error 2.121
Population 691 Fitness -44338 Error 3.636
Population 692 Fitness -44377 Error 3.030
Population 693 Fitness -44659 Error 2.727
